DEBUG SHAPE - real_x: (53452, 29), fake_x: (53452, 29)
/home/UserData/miniconda/envs/causal_tabdiff/lib/python3.10/site-packages/numpy/lib/_function_base_impl.py:3045: RuntimeWarning: invalid value encountered in divide
  c /= stddev[:, None]
/home/UserData/miniconda/envs/causal_tabdiff/lib/python3.10/site-packages/numpy/lib/_function_base_impl.py:3046: RuntimeWarning: invalid value encountered in divide
  c /= stddev[None, :]
/home/UserData/miniconda/envs/causal_tabdiff/lib/python3.10/site-packages/econml/sklearn_extensions/linear_model.py:1815: UserWarning: Co-variance matrix is underdetermined. Inference will be invalid!
  warnings.warn("Co-variance matrix is underdetermined. Inference will be invalid!")
:16:03,704 - INFO - [CausalForest] Epoch 1/1 - collected batch 80/836
2026-02-25 05:16:03,768 - INFO - [CausalForest] Epoch 1/1 - collected batch 100/836
2026-02-25 05:16:03,832 - INFO - [CausalForest] Epoch 1/1 - collected batch 120/836
2026-02-25 05:16:03,898 - INFO - [CausalForest] Epoch 1/1 - collected batch 140/836
2026-02-25 05:16:03,962 - INFO - [CausalForest] Epoch 1/1 - collected batch 160/836
2026-02-25 05:16:04,026 - INFO - [CausalForest] Epoch 1/1 - collected batch 180/836
2026-02-25 05:16:04,090 - INFO - [CausalForest] Epoch 1/1 - collected batch 200/836
2026-02-25 05:16:04,153 - INFO - [CausalForest] Epoch 1/1 - collected batch 220/836
2026-02-25 05:16:04,216 - INFO - [CausalForest] Epoch 1/1 - collected batch 240/836
2026-02-25 05:16:04,280 - INFO - [CausalForest] Epoch 1/1 - collected batch 260/836
2026-02-25 05:16:04,343 - INFO - [CausalForest] Epoch 1/1 - collected batch 280/836
2026-02-25 05:16:04,406 - INFO - [CausalForest] Epoch 1/1 - collected batch 300/836
2026-02-25 05:16:04,469 - INFO - [CausalForest] Epoch 1/1 - collected batch 320/836
2026-02-25 05:16:04,533 - INFO - [CausalForest] Epoch 1/1 - collected batch 340/836
2026-02-25 05:16:04,596 - INFO - [CausalForest] Epoch 1/1 - collected batch 360/836
2026-02-25 05:16:04,659 - INFO - [CausalForest] Epoch 1/1 - collected batch 380/836
2026-02-25 05:16:04,722 - INFO - [CausalForest] Epoch 1/1 - collected batch 400/836
2026-02-25 05:16:04,786 - INFO - [CausalForest] Epoch 1/1 - collected batch 420/836
2026-02-25 05:16:04,849 - INFO - [CausalForest] Epoch 1/1 - collected batch 440/836
2026-02-25 05:16:04,912 - INFO - [CausalForest] Epoch 1/1 - collected batch 460/836
2026-02-25 05:16:04,976 - INFO - [CausalForest] Epoch 1/1 - collected batch 480/836
