nohup: ignoring input
[NOLEAK] DATASET_METADATA_PATH=src/data/dataset_metadata_noleak.json
[NOLEAK] STASY_SAMPLE_CONT_JITTER=0.08
[PIPELINE] 2026-03-04 03:36:43 Start STaSy pre-run gate check
/home/UserData/miniconda/envs/causal_tabdiff/lib/python3.10/site-packages/xgboost/training.py:200: UserWarning: [03:36:52] WARNING: /__w/xgboost/xgboost/src/learner.cc:782: 
Parameters: { "use_label_encoder" } are not used.

  bst.update(dtrain, iteration=i, fobj=obj)
/home/UserData/miniconda/envs/causal_tabdiff/lib/python3.10/site-packages/xgboost/training.py:200: UserWarning: [03:36:52] WARNING: /__w/xgboost/xgboost/src/learner.cc:782: 
Parameters: { "use_label_encoder" } are not used.

  bst.update(dtrain, iteration=i, fobj=obj)
/home/UserData/miniconda/envs/causal_tabdiff/lib/python3.10/site-packages/xgboost/training.py:200: UserWarning: [03:36:52] WARNING: /__w/xgboost/xgboost/src/learner.cc:782: 
Parameters: { "use_label_encoder" } are not used.

  bst.update(dtrain, iteration=i, fobj=obj)
=== STaSy Leakage Quick Check ===
samples=100, device=cuda
label prevalence real=0.0200, fake=0.0200
TSTR auc=0.5000, f1=0.0000
Shuffle-control TSTR auc=0.5000, f1=0.0000
Domain AUC(real-vs-fake)=0.4344
NN memorization ratio(fake->real / real->real)=63.9639 (med_fr=4.8481, med_rr=0.0758)
RISK: 未发现强泄漏信号（基于快速检查）。
GATE: PASS
REPORT: logs/evaluation/stasy_precheck_report.md
[PIPELINE] 2026-03-04 03:36:53 Gate passed, start STaSy full rerun
2026-03-04 03:36:57,992 - INFO - Starting Evaluation on device: cuda
2026-03-04 03:37:05,027 - INFO - Filtered execution to single model: STaSy (ICLR 23)
2026-03-04 03:37:05,027 - INFO - === Running evaluation for SEED: 42 ===
2026-03-04 03:37:05,029 - INFO - Evaluating STaSy (ICLR 23)...
2026-03-04 03:37:05,029 - INFO - Training STaSy ...
2026-03-04 03:37:07,174 - INFO - [STaSy] Epoch 1/100 - batch 20/836, loss=7.627023
2026-03-04 03:37:07,531 - INFO - [STaSy] Epoch 1/100 - batch 40/836, loss=3.773149
2026-03-04 03:37:07,905 - INFO - [STaSy] Epoch 1/100 - batch 60/836, loss=1.689633
2026-03-04 03:37:08,277 - INFO - [STaSy] Epoch 1/100 - batch 80/836, loss=1.495221
2026-03-04 03:37:08,657 - INFO - [STaSy] Epoch 1/100 - batch 100/836, loss=1.364368
2026-03-04 03:37:09,045 - INFO - [STaSy] Epoch 1/100 - batch 120/836, loss=1.467176
2026-03-04 03:37:09,446 - INFO - [STaSy] Epoch 1/100 - batch 140/836, loss=0.949847
2026-03-04 03:37:09,828 - INFO - [STaSy] Epoch 1/100 - batch 160/836, loss=1.213775
2026-03-04 03:37:10,220 - INFO - [STaSy] Epoch 1/100 - batch 180/836, loss=1.143936
2026-03-04 03:37:10,608 - INFO - [STaSy] Epoch 1/100 - batch 200/836, loss=1.165565
2026-03-04 03:37:11,009 - INFO - [STaSy] Epoch 1/100 - batch 220/836, loss=1.117676
2026-03-04 03:37:11,410 - INFO - [STaSy] Epoch 1/100 - batch 240/836, loss=1.202975
2026-03-04 03:37:11,798 - INFO - [STaSy] Epoch 1/100 - batch 260/836, loss=1.042044
2026-03-04 03:37:12,188 - INFO - [STaSy] Epoch 1/100 - batch 280/836, loss=0.967012
2026-03-04 03:37:12,568 - INFO - [STaSy] Epoch 1/100 - batch 300/836, loss=0.903907
2026-03-04 03:37:12,958 - INFO - [STaSy] Epoch 1/100 - batch 320/836, loss=0.952865
2026-03-04 03:37:13,349 - INFO - [STaSy] Epoch 1/100 - batch 340/836, loss=0.971814
2026-03-04 03:37:13,741 - INFO - [STaSy] Epoch 1/100 - batch 360/836, loss=0.940827
2026-03-04 03:37:14,138 - INFO - [STaSy] Epoch 1/100 - batch 380/836, loss=0.819852
2026-03-04 03:37:14,524 - INFO - [STaSy] Epoch 1/100 - batch 400/836, loss=0.965045
2026-03-04 03:37:14,915 - INFO - [STaSy] Epoch 1/100 - batch 420/836, loss=0.846585
2026-03-04 03:37:15,304 - INFO - [STaSy] Epoch 1/100 - batch 440/836, loss=0.860592
2026-03-04 03:37:15,695 - INFO - [STaSy] Epoch 1/100 - batch 460/836, loss=0.846071
2026-03-04 03:37:16,083 - INFO - [STaSy] Epoch 1/100 - batch 480/836, loss=1.362867
2026-03-04 03:37:16,471 - INFO - [STaSy] Epoch 1/100 - batch 500/836, loss=1.156189
2026-03-04 03:37:16,860 - INFO - [STaSy] Epoch 1/100 - batch 520/836, loss=1.176840
2026-03-04 03:37:17,249 - INFO - [STaSy] Epoch 1/100 - batch 540/836, loss=0.945693
2026-03-04 03:37:17,640 - INFO - [STaSy] Epoch 1/100 - batch 560/836, loss=0.679157
2026-03-04 03:37:18,029 - INFO - [STaSy] Epoch 1/100 - batch 580/836, loss=0.798532
2026-03-04 03:37:18,417 - INFO - [STaSy] Epoch 1/100 - batch 600/836, loss=0.778958
2026-03-04 03:37:18,806 - INFO - [STaSy] Epoch 1/100 - batch 620/836, loss=0.878359
2026-03-04 03:37:19,191 - INFO - [STaSy] Epoch 1/100 - batch 640/836, loss=1.038744
2026-03-04 03:37:19,571 - INFO - [STaSy] Epoch 1/100 - batch 660/836, loss=0.990204
2026-03-04 03:37:19,955 - INFO - [STaSy] Epoch 1/100 - batch 680/836, loss=0.786375
2026-03-04 03:37:20,337 - INFO - [STaSy] Epoch 1/100 - batch 700/836, loss=0.897289
2026-03-04 03:37:20,724 - INFO - [STaSy] Epoch 1/100 - batch 720/836, loss=0.738557
2026-03-04 03:37:21,110 - INFO - [STaSy] Epoch 1/100 - batch 740/836, loss=0.968462
2026-03-04 03:37:21,501 - INFO - [STaSy] Epoch 1/100 - batch 760/836, loss=0.895025
2026-03-04 03:37:21,891 - INFO - [STaSy] Epoch 1/100 - batch 780/836, loss=1.083106
2026-03-04 03:37:22,278 - INFO - [STaSy] Epoch 1/100 - batch 800/836, loss=1.466697
2026-03-04 03:37:22,665 - INFO - [STaSy] Epoch 1/100 - batch 820/836, loss=1.200145
2026-03-04 03:37:22,992 - INFO - [STaSy] Epoch 1/100 - batch 836/836, loss=0.717011
2026-03-04 03:37:22,993 - INFO - [STaSy] Epoch 1/100 - avg_loss=1.617073, batches=836
2026-03-04 03:37:23,345 - INFO - [STaSy] Epoch 2/100 - batch 20/836, loss=0.934730
2026-03-04 03:37:23,724 - INFO - [STaSy] Epoch 2/100 - batch 40/836, loss=1.352377
2026-03-04 03:37:24,114 - INFO - [STaSy] Epoch 2/100 - batch 60/836, loss=0.846911
2026-03-04 03:37:24,507 - INFO - [STaSy] Epoch 2/100 - batch 80/836, loss=0.728975
2026-03-04 03:37:24,898 - INFO - [STaSy] Epoch 2/100 - batch 100/836, loss=1.022115
2026-03-04 03:37:25,289 - INFO - [STaSy] Epoch 2/100 - batch 120/836, loss=0.759763
2026-03-04 03:37:25,681 - INFO - [STaSy] Epoch 2/100 - batch 140/836, loss=0.952614
2026-03-04 03:37:26,074 - INFO - [STaSy] Epoch 2/100 - batch 160/836, loss=0.769940
2026-03-04 03:37:26,465 - INFO - [STaSy] Epoch 2/100 - batch 180/836, loss=1.072017
2026-03-04 03:37:26,855 - INFO - [STaSy] Epoch 2/100 - batch 200/836, loss=0.878033
2026-03-04 03:37:27,247 - INFO - [STaSy] Epoch 2/100 - batch 220/836, loss=1.605556
2026-03-04 03:37:27,645 - INFO - [STaSy] Epoch 2/100 - batch 240/836, loss=0.818366
2026-03-04 03:37:28,034 - INFO - [STaSy] Epoch 2/100 - batch 260/836, loss=0.778689
2026-03-04 03:37:28,424 - INFO - [STaSy] Epoch 2/100 - batch 280/836, loss=1.065977
2026-03-04 03:37:28,815 - INFO - [STaSy] Epoch 2/100 - batch 300/836, loss=0.837702
2026-03-04 03:37:29,205 - INFO - [STaSy] Epoch 2/100 - batch 320/836, loss=0.645438
2026-03-04 03:37:29,597 - INFO - [STaSy] Epoch 2/100 - batch 340/836, loss=0.853804
2026-03-04 03:37:29,988 - INFO - [STaSy] Epoch 2/100 - batch 360/836, loss=0.862537
2026-03-04 03:37:30,379 - INFO - [STaSy] Epoch 2/100 - batch 380/836, loss=0.649473
2026-03-04 03:37:30,772 - INFO - [STaSy] Epoch 2/100 - batch 400/836, loss=0.850657
2026-03-04 03:37:31,177 - INFO - [STaSy] Epoch 2/100 - batch 420/836, loss=1.166771
2026-03-04 03:37:31,569 - INFO - [STaSy] Epoch 2/100 - batch 440/836, loss=0.662139
2026-03-04 03:37:31,958 - INFO - [STaSy] Epoch 2/100 - batch 460/836, loss=0.878070
2026-03-04 03:37:32,336 - INFO - [STaSy] Epoch 2/100 - batch 480/836, loss=0.981735
2026-03-04 03:37:32,722 - INFO - [STaSy] Epoch 2/100 - batch 500/836, loss=0.754372
2026-03-04 03:37:33,112 - INFO - [STaSy] Epoch 2/100 - batch 520/836, loss=0.602234
2026-03-04 03:37:33,503 - INFO - [STaSy] Epoch 2/100 - batch 540/836, loss=0.650868
2026-03-04 03:37:33,895 - INFO - [STaSy] Epoch 2/100 - batch 560/836, loss=0.879082
2026-03-04 03:37:34,287 - INFO - [STaSy] Epoch 2/100 - batch 580/836, loss=1.045050
2026-03-04 03:37:34,677 - INFO - [STaSy] Epoch 2/100 - batch 600/836, loss=0.636824
2026-03-04 03:37:35,066 - INFO - [STaSy] Epoch 2/100 - batch 620/836, loss=0.995681
2026-03-04 03:37:35,464 - INFO - [STaSy] Epoch 2/100 - batch 640/836, loss=0.666974
2026-03-04 03:37:35,861 - INFO - [STaSy] Epoch 2/100 - batch 660/836, loss=0.993196
2026-03-04 03:37:36,249 - INFO - [STaSy] Epoch 2/100 - batch 680/836, loss=1.237438
2026-03-04 03:37:36,644 - INFO - [STaSy] Epoch 2/100 - batch 700/836, loss=1.076734
2026-03-04 03:37:37,035 - INFO - [STaSy] Epoch 2/100 - batch 720/836, loss=0.725383
2026-03-04 03:37:37,429 - INFO - [STaSy] Epoch 2/100 - batch 740/836, loss=0.608099
2026-03-04 03:37:37,821 - INFO - [STaSy] Epoch 2/100 - batch 760/836, loss=0.924889
2026-03-04 03:37:38,213 - INFO - [STaSy] Epoch 2/100 - batch 780/836, loss=0.537517
2026-03-04 03:37:38,604 - INFO - [STaSy] Epoch 2/100 - batch 800/836, loss=0.846392
2026-03-04 03:37:38,995 - INFO - [STaSy] Epoch 2/100 - batch 820/836, loss=0.961281
2026-03-04 03:37:39,308 - INFO - [STaSy] Epoch 2/100 - batch 836/836, loss=0.462519
2026-03-04 03:37:39,309 - INFO - [STaSy] Epoch 2/100 - avg_loss=0.899564, batches=836
